Торгівельне найменування,Міжнародне непатентоване найменування,Склад (діючі),Код АТС,Заявник: назва українською,Заявник: країна,Заявник: адреса,Виробник: назва українською,Виробник: країна,Виробник: адреса,Номер Реєстраційного посвідчення,Термін придатності: значення,Термін придатності: одиниця вимірювання,Допоміжні речовини,Діючі речовини,Посилання на медикамент
АДЕНОМА-ГРАН,Memantine,1 таблетка містить мемантину гідрохлориду 10 мг,N06DX01,Лундбек Експорт А/С,Данія,"Оттіліавей 9, DK-2500 Валбі-Копенгаген, Данiя",Х. Лундбек А/С,Данія,"Оттіліавей 9, 2500 Валбі, Данія",UA/4760/01/01,4,рік,,"Conium 1000CH, Sabal ser. 50CH, Thuja 1000CH, Calc. fluor. 200CH, Pulsatilla 1000CH",
АДЕНОРМ,Abiraterone,1 таблетка містить абіратерону ацетату 500 мг,L02BX03,"ТОВ ""Фармацевтична компанія Віста""",Україна,"Україна, 03035, м. Київ, вул. Василя Липківського, будинок 45, приміщення 601-1","Сінтон Хіспанія, С. Л. (виробництво, первинне, вторинне пакування, контроль якості, випуск серії)",Іспанія,"Вул. К/Кастелло, n°1, Сант Боі де Ллобрегат, Барселона, 08830, Іспанія",UA/18043/02/01,2,рік,,Тамсулозіну гідрохлорид,
АДЕЦИКЛОЛ,Ambroxol,5 мл сиропу містять амброксолу гідрохлориду 15 мг,R05CB06,"ТОВ ""КУСУМ ФАРМ""",Україна,"40020, Україна, Сумська область, м. Суми, вул. Скрябіна, 54","ТОВ ""КУСУМ ФАРМ""",Україна,"40020, Україна, Сумська область, м. Суми, вул. Скрябіна, 54",UA/9928/02/01,3,рік,відсутні,Адеметіонін,
АДМЕНТА 10,Ambroxol,без рецепта,"Засоби, що застосовуються при кашлі і застудних захворюваннях. Муколітичні засоби.",,"ТОВ ""КУСУМ ФАРМ""",Україна,1,"ТОВ ""КУСУМ ФАРМ""",Україна,,3 роки,3,"таблетки по 5 мг: целюлоза мікрокристалічна, натрію кроскармелоза, кремнію діоксид колоїдний безводний, тальк, магнію стеарат, Opadry Orange 03F53686: гіпромелоза, титану діоксид (Е 171), макрогол 6000, тальк, заліза оксид жовтий (Е 172), жовтий захід FCF (E 110)*, заліза оксид червоний (Е 172)",Мемантину гідрохлорид,
АДРЕНАЛІН,Avanafil,"містить не менше 98,0 % і не більше 102,0 % аванафілу, у перерахуванні на безводну речовину",C01C A24,"АТ ""КИЇВСЬКИЙ ВІТАМІННИЙ ЗАВОД""",Україна,"Україна, 04073, м. Київ, вул. Копилівська, 38",Хоноур Лаб Лімітед (Юніт ІІІ),Індія,"Плот №4, Гетеро Інфраструктуре СЕЗ Лтд, Н. Нарасапурам Віладж, Наккапаллі Мандал, Вісакхапатман Дістрікт, Андхра Прадеш, Індія",UA/17048/01/01,2,рік,"натрію метабісульфіт (Е 223), натрію хлорид, вода для ін’єкцій",Епінефрину гідротартрат,
АДРЕНАЛІН-ДАРНИЦЯ,Bevacizumab,1 флакон (4 мл концентрату для розчину для інфузій) містить 100 мг (25 мг/мл) бевацизумабу,Антинеопластичні та імуномодулюючі засоби. Антинеопластичні засоби. Інші антинеопластичні засоби. Моноклональні антитіла.,,Ф. Хоффманн-Ля Рош Лтд,Швейцарія,3,"Ф. Хоффманн-Ля Рош Лтд (виробництво нерозфасованої продукції, первинне пакування, вторинне пакування, випробування контролю якості та випуск серії; випробування контролю якості (крім випробування ідентифікації бевацизумабу))",Швейцарія,,2 роки,2,"натрію метабісульфіт (Е 223), натрію хлорид, вода для ін’єкцій",Епінефрину гідротартрат,
АДРЕНАЛІНУ ТАРТРАТ,Moxifloxacin,"1 таблетка містить 436,8 мг моксифлоксацину гідрохлориду, що відповідає 400 мг моксифлоксацину",J01MA14,Байєр АГ,Німеччина,"Кайзер-Вільгельм-Алее 1, 51373 Леверкузен, Німеччина",Байєр АГ,Німеччина,"Кайзер-Вільгельм-Алее, 51368, Леверкузен, Німеччина",UA/4071/01/01,5,рік,"натрію хлорид, натрію гідроксид або кислота хлористоводнева, вода для ін’єкцій",Норепінефрину гідротартрат,
АДРИБЛАСТИН ШВИДКОРОЗЧИННИЙ,"Diosmin, combinations","1 таблетка містить 500 мг мікронізованої очищеної флавоноїдної фракції (у перерахуванні на 100 % безводну речовину), яка містить 450 мг діосміну (90 %) і 50 мг флавоноїдів у вигляді гесперидину (10 %)",C05CA53,"ПАТ ""Фармак""",Україна,"Україна, 04080, м. Київ, вул. Фрунзе, 63","ПАТ ""Фармак""",Україна,"Україна, 04080, м. Київ, вул. Фрунзе, 74",UA/14394/01/01,2,рік,"лактоза, метилпарагідроксибензоат.,  лактоза, метилпарагідроксибензоат",Доксорубіцину гідрохлорид,
АДЦЕТРИС®,"Diosmin, combinations","1 таблетка містить 500 мг мікронізованої очищеної флавоноїдної фракції (у перерахуванні на 100 % безводну речовину), яка містить 450 мг діосміну (90 %) і 50 мг флавоноїдів у вигляді гесперидину (10 %)",C05CA53,"АТ ""Фармак""",Україна,"Україна, 04080, м. Київ, вул. Кирилівська, 63","АТ ""Фармак""",Україна,"Україна, 04080, м. Київ, вул. Кирилівська, 74",UA/14394/01/01,2,рік,"кислота лимонна, моногідрат",брентуксимабу ведотин,
АЕКОЛ,Dutasteride,"1 капсула містить дутастериду 0,5 мг",G04CB02,ГлаксоСмітКляйн Експорт Лімітед,Велика Британія,"980 Грейт Уест Роуд, Брентфорд, Міддлсекс, TW8 9GS, Велика Британiя",ГлаксоСмітКляйн Фармасьютикалз С.А.,Польща,"189, вул. Грюнвальдська, 60-322 Познань, Польща",UA/1599/01/01,4,рік,олія соняшникова,"Ретинолу ацетат, Токоферолу ацетат, Вітамін К, Бетакаротен",
АЕРОФІЛІН®,Pentoxifylline,1 таблетка містить 400 мг пентоксифіліну,C04AD03,"ТОВ ""Санофі-Авентіс Україна""",Україна,"Україна, 01033, м. Київ, вул. Жилянська, 48-50А","АТ ""Санека Фармасьютікалз"" (виробництво ГЛЗ, первинне та вторинне пакування, контроль та випуск серій)",Словацька Республіка,"Нітрянська 100, 920 27 Глоговець, Словацька Республiка",UA/2658/03/01,5,рік,"целюлоза мікрокристалічна, карбоксиметилцеллюлози натрієва сіль, крохмаль прежелатинізований, лактози моногідрат, тальк, повідон к-30, кремнію діоксид колоїдний водний, магнію стеарат, кремнію діоксид колоїдний безводний",Доксофілін,
